"Cancel my order","Annuler ma commande"
"Order number","Numéro de commande"
"Email address","Adresse e-mail"
"Your name","Votre nom"
"Reason (optional)","Motif (facultatif)"
"Continue","Continuer"
"e.g. 000000123","ex. 000000123"
"Excluded products","Produits exclus"
"Return shipping","Frais de retour"
"Refunds","Remboursements"
"Please confirm your withdrawal","Veuillez confirmer votre rétractation"
"You are about to withdraw from the following order. This action will be recorded.","Vous êtes sur le point de vous rétracter de la commande suivante. Cette action sera enregistrée."
"Name","Nom"
"Email","E-mail"
"Item","Article"
"Qty","Qté"
"Subtotal","Sous-total"
"Order total","Total de la commande"
"Confirm withdrawal","Confirmer la rétractation"
"Cancel","Annuler"
"Your withdrawal has been received","Votre rétractation a été reçue"
"We have recorded your withdrawal and sent a confirmation to your email address as proof.","Nous avons enregistré votre rétractation et envoyé une confirmation à votre adresse e-mail comme preuve."
"Proof reference","Référence de preuve"
"Confirmation sent to","Confirmation envoyée à"
"Confirm your withdrawal","Confirmez votre rétractation"
"Withdrawal received","Rétractation reçue"
"We could not find an order matching those details. Please check your order number and email address.","Nous n'avons trouvé aucune commande correspondant à ces informations. Veuillez vérifier votre numéro de commande et votre adresse e-mail."
"Too many attempts. Please wait a few minutes and try again.","Trop de tentatives. Veuillez patienter quelques minutes et réessayer."
"The withdrawal period for this order has expired.","Le délai de rétractation pour cette commande a expiré."
"A withdrawal request for this order has already been received.","Une demande de rétractation pour cette commande a déjà été reçue."
"Please complete all required fields.","Veuillez remplir tous les champs obligatoires."
"We could not verify your request. Please start again.","Nous n'avons pas pu vérifier votre demande. Veuillez recommencer."
"Something went wrong while processing your withdrawal. Please try again.","Une erreur s'est produite lors du traitement de votre rétractation. Veuillez réessayer."
"Changed your mind?","Vous avez changé d'avis ?"
"As an EU consumer you have the right to withdraw from this purchase. You can cancel your order online below — no account needed.","En tant que consommateur de l'UE, vous avez le droit de vous rétracter de cet achat. Vous pouvez annuler votre commande en ligne ci-dessous — aucun compte requis."
"We have received your withdrawal","Nous avons reçu votre rétractation"
"Content of your withdrawal","Contenu de votre rétractation"
"Date and time of withdrawal","Date et heure de la rétractation"
